# pi_control,v0.2.0
# log for:, thermocouple
# date:, 2018_07_25_15_39_04
# meta:, fluid
# comment:,
time (s), temperature (C), internal temperature (C)
75.70306194800014,-199.953125,26.5
76.05802929599986,-199.953125,26.5
76.83952181899986,-199.953125,26.515625
77.21738428800018,-199.953125,26.46875
77.76500859199996,-199.953125,26.5
78.5383562259999,-199.953125,26.46875
79.12860445300021,-199.953125,26.5
79.62818735600013,-199.953125,26.515625
80.30480968500024,-199.953125,26.5
80.7973862480003,-199.953125,26.515625
81.29660081500015,-199.953125,26.5
81.77807429799986,-199.953125,26.515625
82.46943284899999,-199.953125,26.46875
83.2437658480003,-199.953125,26.46875
83.84391355000025,-199.953125,26.546875
84.36559620300022,-199.953125,26.46875
85.07302186700008,-199.953125,26.546875
85.87409240099987,-199.953125,26.515625
86.19770911000023,-199.953125,26.5
86.55954378100023,-199.953125,26.5
87.37639439600025,-199.953125,26.5
