# pi_control,v0.2.0
# log for:, actuator.position
# date:, 2018_07_25_15_30_35
# meta:, 
# comment:,
time (s), position (raw)
60.22282312499965,13458
60.23235771899999,13461
60.24223700099992,13464
60.252138054999705,13466
60.26175197199973,13469
60.27168724499961,13476
60.28169173699962,13476
60.291327267999804,13484
60.30116410299979,13485
60.31120760499971,13488
60.320814698999584,13497
60.33063627299998,13497
60.340635868999925,13502
60.35025004599993,13506
60.36018443299963,13506
60.37014569599978,13509
60.37973935199989,13517
60.38961056199969,13516
60.400097191999976,13518
60.40967944199974,13522
60.41939163999996,13526
60.42925477699964,13528
60.438929318999726,13535
60.44842818299958,13537
60.45831236099957,13539
60.46791049699959,13542
60.47735951599998,13544
60.4873509869999,13552
60.49699542499957,13551
60.50647371499963,13558
60.511395101999824,13558
60.51649815599967,13556
60.52647530399963,13557
60.53603786599979,13564
60.54608996199977,13569
60.55654476899963,13575
60.56618155099977,13572
60.576539065999896,13577
60.586515848999625,13583
60.59614299499981,13582
60.606361081999694,13588
60.616693596999994,13589
60.62633792999986,13592
60.63644304799982,13605
60.64670873999967,13600
60.656334634999894,13604
60.66639459699991,13613
60.67646085999968,13611
60.68605696399982,13617
60.69601197599968,13621
60.70608933299991,13620
60.715750802,13629
60.72552383399989,13629
60.73546530499971,13635
60.74506489799978,13634
60.75480444099958,13642
60.76475434899976,13645
60.77433857799997,13642
60.78381046200002,13648
60.79371484899957,13647
60.80329465099976,13655
60.812739086999954,13658
60.82254008799964,13662
60.83226140199986,13666
60.84179786999994,13670
60.85168241299971,13676
60.861561955999605,13676
60.871167017999596,13677
60.88121255199985,13680
60.89119844999959,13687
60.900822314999914,13694
60.91065534699965,13701
60.92066582899997,13704
60.930272609999975,13702
60.94017475800001,13700
60.95025451099991,13709
60.959915197999635,13709
60.96984526299957,13714
60.97994454699983,13721
60.989551171999665,13720
60.999367641999925,13723
61.00938411299967,13731
61.01902000899963,13733
61.02868574799959,13737
61.03859305199967,13738
61.04818675999968,13738
61.05767765499968,13742
61.0675706359998,13751
61.07716757299977,13749
61.08661133299984,13754
61.0964105109997,13758
61.10616755299998,13763
61.115733395999996,13764
61.12561887699985,13767
61.136048631999984,13772
61.14563869499989,13772
61.1555542279998,13776
61.165519500999835,13779
61.17513201099973,13784
61.18500827299977,13785
61.19505078599968,13794
61.20465579599977,13794
61.21445731799986,13799
61.224432798999715,13802
61.2340562469999,13806
61.24404844699984,13813
61.2478707639998,13813
61.25391028199965,13817
61.26351576099978,13819
61.27331207499992,13822
61.28330859799962,13821
61.2929183479996,13824
61.302560961999916,13835
61.31251040199959,13831
61.322133484999995,13839
61.331604222999886,13837
61.34145053699967,13843
61.35103950599978,13854
61.36051623399999,13849
61.37032525599989,13853
61.3800637559998,13857
61.3895983489997,13861
61.399462579999636,13864
61.40932738399988,13868
61.419826826999724,13868
61.42981595399988,13872
61.43973935199983,13874
61.44940337299977,13880
61.4593769789999,13887
61.469335324999975,13888
61.478942469999765,13893
61.48885706599958,13894
61.498808171999826,13899
61.50831667099965,13904
61.518121057999906,13906
61.52808414299989,13912
61.53767842399975,13912
61.5475516649999,13916
61.55754881299981,13918
61.56717382299985,13921
61.57702820999975,13923
61.587034472999676,13928
61.59662974399998,13928
61.60628907699993,13935
61.608251797999856,13935
61.61622914099962,13931
61.62586217299986,13934
61.6353845259996,13943
61.645265110999844,13944
61.65485381899998,13950
61.6643243489998,13955
61.67412462099992,13957
61.68387593399984,13958
61.69339646499975,13963
61.70323345499992,13967
61.713092268999844,13972
61.72270347799986,13979
61.73264213599987,13978
61.74262084599968,13979
61.75225533599996,13985
61.76210508699978,13983
61.77212421499962,13991
61.7817180789998,13991
61.7915012149997,13994
61.80147492599963,13996
61.811095977999685,14003
61.821055260999856,14005
61.83104673199978,14011
61.84069153399969,14010
61.85049894099984,14009
61.860544683999706,14014
61.87015208999992,14018
61.879783870999745,14022
61.88982706099978,14027
61.89953332199957,14028
61.909006872999726,14026
61.918854696999915,14034
61.92843819699965,14036
61.937876955999855,14045
61.9496540629998,14047
61.959214645999964,14053
61.96868184300001,14053
61.97850216699999,14058
61.98823264699968,14063
61.99776411499988,14065
62.007648136999705,14071
62.0175061179998,14078
62.027126700999816,14078
62.037378954999895,14082
62.04731938399982,14088
62.056970697,14094
62.0607254079996,14094
62.06735071200001,14091
62.07745025599979,14093
62.08702641199989,14102
62.097121633999905,14100
62.10760196199999,14110
62.11722087899989,14115
62.12726636099978,14115
62.137313404999986,14119
62.147024300999874,14119
62.15778145399963,14120
62.16828277199966,14127
62.178061480999986,14128
62.189086396999755,14130
62.199721100999795,14134
62.20959132099961,14136
62.219706438999765,14138
62.232057195999914,14149
62.241681997999876,14152
62.25206050299994,14158
62.262287808999645,14155
62.27197703799993,14161
62.28239632499981,14161
62.292657900999984,14163
62.302344578999964,14167
62.313479858999926,14176
62.32357351799965,14179
62.333229622999625,14185
62.34343109499969,14186
62.34418276699989,14186
62.35424293599999,14192
62.3638992479996,14196
62.374150668999846,14200
62.38439677699989,14201
62.39412027799972,14202
62.40438346899964,14208
62.41454634699994,14208
62.42424375399969,14210
62.4347043949997,14217
62.44509305599968,14226
62.455330673999924,14233
62.46551469799988,14232
62.47546085699969,14235
62.48506852299988,14240
62.49533655799996,14243
62.505557978999605,14245
62.51530236499957,14249
62.52555097300001,14253
62.53576135100002,14260
